Location,Student,Fac/Staff,Visitor/Meter,Reserved,Disabled,Reduced,Time,Day
CRI Deck 1 Level 1,38.0,38.0,37.0,,2.0,,12:00,Thursday
West Level 2,0.0,,,,,,12:00,Thursday
West Level 3,0.0,,,1.0,,,12:00,Thursday
West Level 4,0.0,,,,,,12:00,Thursday
West Level 5,0.0,,,,,,12:00,Thursday
South Village Level 1,0.0,0.0,89.0,8.0,4.0,,12:00,Thursday
South Village Level 2,1.0,0.0,,0.0,0.0,,12:00,Thursday
South Village Level 3,1.0,1.0,,4.0,0.0,,12:00,Thursday
South Village Level 4,1.0,0.0,,,0.0,,12:00,Thursday
South Village Level 5,8.0,7.0,,,3.0,,12:00,Thursday
South Village Level 6,33.0,32.0,,,0.0,,12:00,Thursday
East 3 Level 1,0.0,,,0.0,3.0,,12:00,Thursday
East 3 Level 2,0.0,,,,,,12:00,Thursday
East 3 Level 3,20.0,,,,,,12:00,Thursday
East 3 Level 4,40.0,,,,,,12:00,Thursday
East 3 Level 5,77.0,,,,,,12:00,Thursday
East 2 Level 4,6.0,,,,,,12:00,Thursday
East 2 Level 3,0.0,,,,,,12:00,Thursday
East 2 Level 2,0.0,,,,,,12:00,Thursday
East 2 Level 1,0.0,,,,0.0,,12:00,Thursday
East 1 Level 1,,5.0,,9.0,3.0,,12:00,Thursday
East 1 Level 2,,44.0,19.0,,,,12:00,Thursday
East 1 Level 3,,103.0,44.0,,,,12:00,Thursday
East 1 Level 4,,78.0,33.0,,,,12:00,Thursday
North Level 6,145.0,,,,,,14:00,Thursday
North Level 5,172.0,,,,,,14:00,Thursday
North Level 4,115.0,,,,,,14:00,Thursday
North Level 3,22.0,,,,,,14:00,Thursday
North Level 2,2.0,,,,,,14:00,Thursday
North Level 1,4.0,,,0.0,15.0,,14:00,Thursday
Union Level 6,,8.0,8.0,1.0,1.0,,14:00,Thursday
Union Level 5,,81.0,81.0,0.0,0.0,,14:00,Thursday
Union Level 4,13.0,1.0,1.0,,3.0,,14:00,Thursday
Union Level 3,23.0,,,,0.0,,14:00,Thursday
Union Level 2,0.0,,,,2.0,,14:00,Thursday
Union Level 1,0.0,,,0.0,5.0,,14:00,Thursday
CRI Deck 1 Level 7,46.0,46.0,45.0,,,,14:00,Thursday
CRI Deck 1 Level 6,68.0,68.0,67.0,,2.0,,14:00,Thursday
CRI Deck 1 Level 5,60.0,60.0,59.0,,4.0,,14:00,Thursday
CRI Deck 1 Level 4,28.0,29.0,28.0,,8.0,,14:00,Thursday
CRI Deck 1 Level 3,41.0,42.0,41.0,2.0,4.0,,14:00,Thursday
CRI Deck 1 Level 2,7.0,7.0,7.0,2.0,4.0,,14:00,Thursday
CRI Deck 1 Level 1,38.0,39.0,38.0,,2.0,,14:00,Thursday
West Level 2,1.0,,,,,,14:00,Thursday
West Level 3,4.0,,,0.0,,,14:00,Thursday
West Level 4,6.0,,,,,,14:00,Thursday
West Level 5,7.0,,,,,,14:00,Thursday
South Village Level 1,2.0,2.0,90.0,8.0,3.0,,14:00,Thursday
South Village Level 2,0.0,0.0,,0.0,0.0,,14:00,Thursday
South Village Level 3,1.0,1.0,,4.0,2.0,,14:00,Thursday
South Village Level 4,6.0,6.0,,,1.0,,14:00,Thursday
South Village Level 5,19.0,19.0,,,3.0,,14:00,Thursday
South Village Level 6,40.0,40.0,,,1.0,,14:00,Thursday
East 3 Level 1,3.0,,,7.0,3.0,,14:00,Thursday
East 3 Level 2,5.0,,,,,,14:00,Thursday
East 3 Level 3,21.0,,,,,,14:00,Thursday
East 3 Level 4,30.0,,,,,,14:00,Thursday
East 3 Level 5,55.0,,,,,,14:00,Thursday
East 2 Level 4,19.0,,,,,,14:00,Thursday
East 2 Level 3,11.0,,,,,,14:00,Thursday
East 2 Level 2,4.0,,,,,,14:00,Thursday
East 2 Level 1,1.0,,,,19.0,,14:00,Thursday
East 1 Level 1,,8.0,,7.0,1.0,,14:00,Thursday
East 1 Level 2,,47.0,20.0,,,,14:00,Thursday
East 1 Level 3,,12.0,5.0,,,,14:00,Thursday
East 1 Level 4,,78.0,33.0,,,,14:00,Thursday
North Level 6,143.0,,,,,,16:00,Thursday
North Level 5,180.0,,,,,,16:00,Thursday
North Level 4,166.0,,,,,,16:00,Thursday
North Level 3,102.0,,,,,,16:00,Thursday
North Level 2,52.0,,,,,,16:00,Thursday
North Level 1,39.0,,,2,15.0,,16:00,Thursday
Union Level 6,,19.0,19.0,1,1.0,,16:00,Thursday
Union Level 5,,100.0,99.0,1,2.0,,16:00,Thursday
Union Level 4,59.0,5.0,5.0,,2.0,,16:00,Thursday
Union Level 3,153.0,,,,2.0,,16:00,Thursday
Union Level 2,88.0,,,,3.0,,16:00,Thursday
Union Level 1,50.0,,,0,9.0,,16:00,Thursday
CRI Deck 1 Level 7,46.0,46.0,45.0,,,,16:00,Thursday
CRI Deck 1 Level 6,67.0,67.0,67.0,,2.0,,16:00,Thursday
CRI Deck 1 Level 5,63.0,63.0,62.0,,4.0,,16:00,Thursday
CRI Deck 1 Level 4,41.0,41.0,41.0,,8.0,,16:00,Thursday
CRI Deck 1 Level 3,46.0,46.0,46.0,5,4.0,,16:00,Thursday
CRI Deck 1 Level 2,29.0,30.0,29.0,2,4.0,,16:00,Thursday
CRI Deck 1 Level 1,37.0,38.0,37.0,,2.0,,16:00,Thursday
West Level 2,23.0,,,,,,16:00,Thursday
West Level 3,38.0,,,1,,,16:00,Thursday
West Level 4,38.0,,,,,,16:00,Thursday
West Level 5,59.0,,,,,,16:00,Thursday
South Village Level 1,3.0,2.0,94.0,5,4.0,,16:00,Thursday
South Village Level 2,5.0,5.0,,0,1.0,,16:00,Thursday
South Village Level 3,6.0,5.0,,7,2.0,,16:00,Thursday
South Village Level 4,15.0,15.0,,,2.0,,16:00,Thursday
South Village Level 5,33.0,33.0,,,2.0,,16:00,Thursday
South Village Level 6,48.0,47.0,,,0.0,,16:00,Thursday
East 3 Level 1,43.0,,,8,4.0,,16:00,Thursday
East 3 Level 2,72.0,,,,,,16:00,Thursday
East 3 Level 3,114.0,,,,,,16:00,Thursday
East 3 Level 4,122.0,,,,,,16:00,Thursday
East 3 Level 5,106.0,,,,,,16:00,Thursday
East 2 Level 4,53.0,,,,,,16:00,Thursday
East 2 Level 3,58.0,,,,,,16:00,Thursday
East 2 Level 2,10.0,,,,,,16:00,Thursday
East 2 Level 1,0.0,,,,17.0,,16:00,Thursday
East 1 Level 1,,78.0,,10,5.0,,16:00,Thursday
East 1 Level 2,,87.0,37.0,,,,16:00,Thursday
East 1 Level 3,,109.0,47.0,,,,16:00,Thursday
East 1 Level 4,,77.0,33.0,,,,16:00,Thursday
North Level 6,143.0,,,,,,18:00,Thursday
North Level 5,189.0,,,,,,18:00,Thursday
North Level 4,177.0,,,,,,18:00,Thursday
North Level 3,117.0,,,,,,18:00,Thursday
North Level 2,74.0,,,,,,18:00,Thursday
North Level 1,55.0,,,1.0,18.0,,18:00,Thursday
Union Level 6,,37.0,36.0,1.0,1.0,,18:00,Thursday
Union Level 5,,118.0,118.0,2.0,4.0,,18:00,Thursday
Union Level 4,66.0,4.0,3.0,,2.0,,18:00,Thursday
Union Level 3,177.0,,,,3.0,,18:00,Thursday
Union Level 2,164.0,,,,5.0,,18:00,Thursday
Union Level 1,80.0,,,0.0,8.0,,18:00,Thursday
CRI Deck 1 Level 7,45.0,46.0,45.0,,,,18:00,Thursday
CRI Deck 1 Level 6,68.0,68.0,67.0,,2.0,,18:00,Thursday
CRI Deck 1 Level 5,66.0,66.0,66.0,,4.0,,18:00,Thursday
CRI Deck 1 Level 4,53.0,53.0,52.0,,8.0,,18:00,Thursday
CRI Deck 1 Level 3,62.0,63.0,62.0,5.0,4.0,,18:00,Thursday
CRI Deck 1 Level 2,45.0,46.0,45.0,2.0,4.0,,18:00,Thursday
CRI Deck 1 Level 1,35.0,36.0,35.0,,2.0,,18:00,Thursday
West Level 2,88.0,,,,,,18:00,Thursday
West Level 3,116.0,,,3.0,,,18:00,Thursday
West Level 4,79.0,,,,,,18:00,Thursday
West Level 5,101.0,,,,,,18:00,Thursday
South Village Level 1,2.0,1.0,88.0,0.0,5.0,,18:00,Thursday
South Village Level 2,6.0,5.0,,3.0,2.0,,18:00,Thursday
South Village Level 3,11.0,10.0,,7.0,2.0,,18:00,Thursday
South Village Level 4,22.0,22.0,,,3.0,,18:00,Thursday
South Village Level 5,43.0,43.0,,,2.0,,18:00,Thursday
South Village Level 6,66.0,65.0,,,1.0,,18:00,Thursday
East 3 Level 1,93.0,,,12.0,4.0,,18:00,Thursday
East 3 Level 2,130.0,,,,,,18:00,Thursday
East 3 Level 3,136.0,,,,,,18:00,Thursday
East 3 Level 4,156.0,,,,,,18:00,Thursday
East 3 Level 5,104.0,,,,,,18:00,Thursday
East 2 Level 4,80.0,,,,,,18:00,Thursday
East 2 Level 3,104.0,,,,,,18:00,Thursday
East 2 Level 2,42.0,,,,,,18:00,Thursday
East 2 Level 1,0.0,,,,21.0,,18:00,Thursday
East 1 Level 1,,85.0,,10.0,5.0,,18:00,Thursday
East 1 Level 2,,106.0,45.0,,,,18:00,Thursday
East 1 Level 3,,113.0,49.0,,,,18:00,Thursday
East 1 Level 4,,78.0,33.0,,,,18:00,Thursday
North Level 6,145.0,,,,,,10:00,Friday
North Level 5,186.0,,,,,,10:00,Friday
North Level 4,172.0,,,,,,10:00,Friday
North Level 3,81.0,,,,,,10:00,Friday
North Level 2,40.0,,,,,,10:00,Friday
North Level 1,40.0,,,0.0,15.0,,10:00,Friday
Union Level 6,,23,23.0,1.0,1.0,,10:00,Friday
Union Level 5,,68,68.0,0.0,3.0,,10:00,Friday
Union Level 4,83.0,0,0.0,,1.0,,10:00,Friday
Union Level 3,143.0,,,,5.0,,10:00,Friday
Union Level 2,129.0,,,,5.0,,10:00,Friday
Union Level 1,18.0,,,0.0,5.0,,10:00,Friday
CRI Deck 1 Level 7,0.0,0,0.0,,,,10:00,Friday
CRI Deck 1 Level 6,68.0,68,68.0,,2.0,,10:00,Friday
CRI Deck 1 Level 5,62.0,62,61.0,,4.0,,10:00,Friday
CRI Deck 1 Level 4,40.0,40,39.0,,8.0,,10:00,Friday
CRI Deck 1 Level 3,65.0,65,64.0,0.0,4.0,,10:00,Friday
CRI Deck 1 Level 2,13.0,13,13.0,0.0,4.0,,10:00,Friday
CRI Deck 1 Level 1,37.0,37,36.0,,2.0,,10:00,Friday
West Level 2,15.0,,,,,,10:00,Friday
West Level 3,63.0,,,1.0,,,10:00,Friday
West Level 4,58.0,,,,,,10:00,Friday
West Level 5,122.0,,,,,,10:00,Friday
South Village Level 1,2.0,2,83.0,6.0,4.0,,10:00,Friday
South Village Level 2,3.0,2,,1.0,0.0,,10:00,Friday
South Village Level 3,2.0,1,,7.0,2.0,,10:00,Friday
South Village Level 4,3.0,3,,,0.0,,10:00,Friday
South Village Level 5,33.0,33,,,3.0,,10:00,Friday
South Village Level 6,63.0,62,,,1.0,,10:00,Friday
East 3 Level 1,2.0,,,0.0,4.0,,10:00,Friday
East 3 Level 2,69.0,,,,,,10:00,Friday
East 3 Level 3,160.0,,,,,,10:00,Friday
East 3 Level 4,172.0,,,,,,10:00,Friday
East 3 Level 5,113.0,,,,,,10:00,Friday
East 2 Level 4,82.0,,,,,,10:00,Friday
East 2 Level 3,12.0,,,,,,10:00,Friday
East 2 Level 2,0.0,,,,,,10:00,Friday
East 2 Level 1,0.0,,,,14.0,,10:00,Friday
East 1 Level 1,,24,,6.0,4.0,,10:00,Friday
East 1 Level 2,,91,39.0,,,,10:00,Friday
East 1 Level 3,,115,49.0,,,,10:00,Friday
East 1 Level 4,,78,33.0,,,,10:00,Friday
North Level 6,144.0,,,,,,12:00,Friday
North Level 5,183.0,,,,,,12:00,Friday
North Level 4,172.0,,,,,,12:00,Friday
North Level 3,121.0,,,,,,12:00,Friday
North Level 2,38.0,,,,,,12:00,Friday
North Level 1,26.0,,,0.0,14.0,,12:00,Friday
Union Level 6,,29.0,29.0,1.0,2.0,,12:00,Friday
Union Level 5,,105.0,105.0,1.0,3.0,,12:00,Friday
Union Level 4,99.0,10.0,9.0,,3.0,,12:00,Friday
Union Level 3,134.0,,,,5.0,,12:00,Friday
Union Level 2,125.0,,,,3.0,,12:00,Friday
Union Level 1,27.0,,,0.0,4.0,,12:00,Friday
CRI Deck 1 Level 7,46.0,46.0,45.0,,,,12:00,Friday
CRI Deck 1 Level 6,67.0,68.0,67.0,,1.0,,12:00,Friday
CRI Deck 1 Level 5,60.0,60.0,60.0,,4.0,,12:00,Friday
CRI Deck 1 Level 4,37.0,38.0,37.0,,8.0,,12:00,Friday
CRI Deck 1 Level 3,58.0,58.0,57.0,0.0,4.0,,12:00,Friday
CRI Deck 1 Level 2,30.0,30.0,29.0,1.0,4.0,,12:00,Friday
CRI Deck 1 Level 1,38.0,38.0,38.0,,2.0,,12:00,Friday
West Level 2,4.0,,,,,,12:00,Friday
West Level 3,62.0,,,2.0,,,12:00,Friday
West Level 4,74.0,,,,,,12:00,Friday
West Level 5,123.0,,,,,,12:00,Friday
South Village Level 1,4.0,4.0,82.0,9.0,5.0,,12:00,Friday
South Village Level 2,7.0,6.0,,1.0,1.0,,12:00,Friday
South Village Level 3,11.0,10.0,,5.0,1.0,,12:00,Friday
South Village Level 4,17.0,17.0,,,0.0,,12:00,Friday
South Village Level 5,48.0,47.0,,,0.0,,12:00,Friday
South Village Level 6,68.0,67.0,,,1.0,,12:00,Friday
East 3 Level 1,26.0,,,1.0,4.0,,12:00,Friday
East 3 Level 2,56.0,,,,,,12:00,Friday
East 3 Level 3,152.0,,,,,,12:00,Friday
East 3 Level 4,167.0,,,,,,12:00,Friday
East 3 Level 5,114.0,,,,,,12:00,Friday
East 2 Level 4,41.0,,,,,,12:00,Friday
East 2 Level 3,35.0,,,,,,12:00,Friday
East 2 Level 2,11.0,,,,,,12:00,Friday
East 2 Level 1,0.0,,,,19.0,,12:00,Friday
East 1 Level 1,,33.0,,6.0,2.0,,12:00,Friday
East 1 Level 2,,84.0,36.0,,,,12:00,Friday
East 1 Level 3,,113.0,49.0,,,,12:00,Friday
East 1 Level 4,,78.0,33.0,,,,12:00,Friday
North Level 6,145.0,,,,,,14:00,Friday
North Level 5,185.0,,,,,,14:00,Friday
North Level 4,176.0,,,,,,14:00,Friday
North Level 3,107.0,,,,,,14:00,Friday
North Level 2,45.0,,,,,,14:00,Friday
North Level 1,59.0,,,2.0,15.0,,14:00,Friday
Union Level 6,,27.0,27.0,1.0,2.0,,14:00,Friday
Union Level 5,,78.0,78.0,0.0,1.0,,14:00,Friday
Union Level 4,80.0,1.0,1.0,,2.0,,14:00,Friday
Union Level 3,175.0,,,,3.0,,14:00,Friday
Union Level 2,174.0,,,,5.0,,14:00,Friday
Union Level 1,44.0,,,0.0,6.0,,14:00,Friday
CRI Deck 1 Level 7,45.0,46.0,45.0,,,,14:00,Friday
CRI Deck 1 Level 6,68.0,68.0,68.0,,2.0,,14:00,Friday
CRI Deck 1 Level 5,64.0,64.0,63.0,,4.0,,14:00,Friday
CRI Deck 1 Level 4,36.0,37.0,36.0,,8.0,,14:00,Friday
CRI Deck 1 Level 3,55.0,56.0,55.0,1.0,4.0,,14:00,Friday
CRI Deck 1 Level 2,26.0,26.0,26.0,1.0,3.0,,14:00,Friday
CRI Deck 1 Level 1,35.0,35.0,34.0,,2.0,,14:00,Friday
West Level 2,38.0,,,,,,14:00,Friday
West Level 3,74.0,,,2.0,,,14:00,Friday
West Level 4,67.0,,,,,,14:00,Friday
West Level 5,120.0,,,,,,14:00,Friday
South Village Level 1,3.0,3.0,91.0,7.0,4.0,,14:00,Friday
South Village Level 2,13.0,13.0,,2.0,1.0,,14:00,Friday
South Village Level 3,20.0,19.0,,8.0,2.0,,14:00,Friday
South Village Level 4,28.0,27.0,,,0.0,,14:00,Friday
South Village Level 5,51.0,50.0,,,3.0,,14:00,Friday
South Village Level 6,70.0,69.0,,,1.0,,14:00,Friday
East 3 Level 1,55.0,,,1.0,4.0,,14:00,Friday
East 3 Level 2,118.0,,,,,,14:00,Friday
East 3 Level 3,160.0,,,,,,14:00,Friday
East 3 Level 4,173.0,,,,,,14:00,Friday
East 3 Level 5,113.0,,,,,,14:00,Friday
East 2 Level 4,89.0,,,,,,14:00,Friday
East 2 Level 3,71.0,,,,,,14:00,Friday
East 2 Level 2,25.0,,,,,,14:00,Friday
East 2 Level 1,4.0,,,,21.0,,14:00,Friday
East 1 Level 1,,23.0,,7.0,0.0,,14:00,Friday
East 1 Level 2,,83.0,35.0,,,,14:00,Friday
East 1 Level 3,,115.0,49.0,,,,14:00,Friday
East 1 Level 4,,77.0,33.0,,,,14:00,Friday
North Level 6,145.0,,,,,,16:00,Friday
North Level 5,194.0,,,,,,16:00,Friday
North Level 4,188.0,,,,,,16:00,Friday
North Level 3,128.0,,,,,,16:00,Friday
North Level 2,126.0,,,,,,16:00,Friday
North Level 1,120.0,,,4.0,16.0,,16:00,Friday
Union Level 6,,37.0,37.0,1.0,3.0,,16:00,Friday
Union Level 5,,125.0,124.0,2.0,2.0,,16:00,Friday
Union Level 4,127.0,20.0,20.0,,3.0,,16:00,Friday
Union Level 3,229.0,,,,4.0,,16:00,Friday
Union Level 2,181.0,,,,5.0,,16:00,Friday
Union Level 1,105.0,,,0.0,9.0,,16:00,Friday
CRI Deck 1 Level 7,46.0,46.0,45.0,,,,16:00,Friday
CRI Deck 1 Level 6,68.0,68.0,68.0,,2.0,,16:00,Friday
CRI Deck 1 Level 5,65.0,65.0,64.0,,4.0,,16:00,Friday
CRI Deck 1 Level 4,54.0,54.0,54.0,,7.0,,16:00,Friday
CRI Deck 1 Level 3,67.0,68.0,67.0,4.0,4.0,,16:00,Friday
CRI Deck 1 Level 2,52.0,52.0,51.0,1.0,4.0,,16:00,Friday
CRI Deck 1 Level 1,32.0,32.0,31.0,,2.0,,16:00,Friday
West Level 2,65.0,,,,,,16:00,Friday
West Level 3,137.0,,,2.0,,,16:00,Friday
West Level 4,105.0,,,,,,16:00,Friday
West Level 5,121.0,,,,,,16:00,Friday
South Village Level 1,31.0,30.0,86.0,5.0,5.0,,16:00,Friday
South Village Level 2,22.0,22.0,,0.0,3.0,,16:00,Friday
South Village Level 3,35.0,35.0,,7.0,4.0,,16:00,Friday
South Village Level 4,53.0,53.0,,,3.0,,16:00,Friday
South Village Level 5,76.0,76.0,,,1.0,,16:00,Friday
South Village Level 6,72.0,72.0,,,1.0,,16:00,Friday
East 3 Level 1,105.0,,,11.0,4.0,,16:00,Friday
East 3 Level 2,155.0,,,,,,16:00,Friday
East 3 Level 3,174.0,,,,,,16:00,Friday
East 3 Level 4,175.0,,,,,,16:00,Friday
East 3 Level 5,115.0,,,,,,16:00,Friday
East 2 Level 4,102.0,,,,,,16:00,Friday
East 2 Level 3,129.0,,,,,,16:00,Friday
East 2 Level 2,89.0,,,,,,16:00,Friday
East 2 Level 1,33.0,,,,23.0,,16:00,Friday
East 1 Level 1,,83.0,,9.0,6.0,,16:00,Friday
East 1 Level 2,,103.0,44.0,,,,16:00,Friday
East 1 Level 3,,114.0,49.0,,,,16:00,Friday
East 1 Level 4,,78.0,33.0,,,,16:00,Friday
North Level 6,,,,,,,18:00,Friday
North Level 5,,,,,,,18:00,Friday
North Level 4,,,,,,,18:00,Friday
North Level 3,,,,,,,18:00,Friday
North Level 2,,,,,,,18:00,Friday
North Level 1,,,,,,,18:00,Friday
Union Level 6,,,,,,,18:00,Friday
Union Level 5,,,,,,,18:00,Friday
Union Level 4,,,,,,,18:00,Friday
Union Level 3,,,,,,,18:00,Friday
Union Level 2,,,,,,,18:00,Friday
Union Level 1,,,,,,,18:00,Friday
CRI Deck 1 Level 7,,,,,,,18:00,Friday
CRI Deck 1 Level 6,,,,,,,18:00,Friday
CRI Deck 1 Level 5,,,,,,,18:00,Friday
CRI Deck 1 Level 4,,,,,,,18:00,Friday
CRI Deck 1 Level 3,,,,,,,18:00,Friday
CRI Deck 1 Level 2,,,,,,,18:00,Friday
CRI Deck 1 Level 1,,,,,,,18:00,Friday
West Level 2,,,,,,,18:00,Friday
West Level 3,,,,,,,18:00,Friday
West Level 4,,,,,,,18:00,Friday
West Level 5,,,,,,,18:00,Friday
South Village Level 1,,,,,,,18:00,Friday
South Village Level 2,,,,,,,18:00,Friday
South Village Level 3,,,,,,,18:00,Friday
South Village Level 4,,,,,,,18:00,Friday
South Village Level 5,,,,,,,18:00,Friday
South Village Level 6,,,,,,,18:00,Friday
East 3 Level 1,,,,,,,18:00,Friday
East 3 Level 2,,,,,,,18:00,Friday
East 3 Level 3,,,,,,,18:00,Friday
East 3 Level 4,,,,,,,18:00,Friday
East 3 Level 5,,,,,,,18:00,Friday
East 2 Level 4,,,,,,,18:00,Friday
East 2 Level 3,,,,,,,18:00,Friday
East 2 Level 2,,,,,,,18:00,Friday
East 2 Level 1,,,,,,,18:00,Friday
East 1 Level 1,,,,,,,18:00,Friday
East 1 Level 2,,,,,,,18:00,Friday
East 1 Level 3,,,,,,,18:00,Friday
East 1 Level 4,,,,,,,18:00,Friday
